"review_id","repository_id","repository_owner","repository_name","language","repository_creation_date","repository_update_date","pull_request_id","pull_request_title","pull_request_body","pull_request_state","pull_request_locked","pull_request_creation_date","pull_request_update_date","pull_request_close_date","pull_request_merged","pull_request_mergeable","pull_request_comments","pull_request_reviews","pull_request_review_comments","pull_request_commits","pull_request_additions","pull_request_deletions","pull_request_changed_files","review_state","review_body","reviewer_login"
1828408,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","jpmedley"
1828726,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","jpmedley"
1829154,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","jpmedley"
1829668,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","jpmedley"
1843635,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",86249955,"Enr1","","closed",false,"2016-09-21T22:04:55.000Z","2016-11-03T18:59:35.000Z","2016-09-29T14:48:17.000Z",false,false,7,17,92,27,331,73,3,"COMMENTED","","gauntface"
1986687,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",87162478,"Tweaks to touch docs","cc @RByers @patrickhlauke\n\nThoughts on these changes? Anything we should be adding in?\n","closed",false,"2016-09-28T17:16:58.000Z","2016-11-10T03:46:22.000Z","2016-11-08T20:02:57.000Z",false,false,6,29,41,4,362,382,3,"COMMENTED","","RByers"
1987229,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",87162478,"Tweaks to touch docs","cc @RByers @patrickhlauke\n\nThoughts on these changes? Anything we should be adding in?\n","closed",false,"2016-09-28T17:16:58.000Z","2016-11-10T03:46:22.000Z","2016-11-08T20:02:57.000Z",false,false,6,29,41,4,362,382,3,"COMMENTED","","RByers"
1987965,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",87162478,"Tweaks to touch docs","cc @RByers @patrickhlauke\n\nThoughts on these changes? Anything we should be adding in?\n","closed",false,"2016-09-28T17:16:58.000Z","2016-11-10T03:46:22.000Z","2016-11-08T20:02:57.000Z",false,false,6,29,41,4,362,382,3,"COMMENTED","","RByers"
1988757,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",87162478,"Tweaks to touch docs","cc @RByers @patrickhlauke\n\nThoughts on these changes? Anything we should be adding in?\n","closed",false,"2016-09-28T17:16:58.000Z","2016-11-10T03:46:22.000Z","2016-11-08T20:02:57.000Z",false,false,6,29,41,4,362,382,3,"COMMENTED","","RByers"
1989309,19249835,"google","WebFundamentals","HTML","2014-04-28T18:45:45.000Z","2017-06-22T22:12:21.000Z",87162478,"Tweaks to touch docs","cc @RByers @patrickhlauke\n\nThoughts on these changes? Anything we should be adding in?\n","closed",false,"2016-09-28T17:16:58.000Z","2016-11-10T03:46:22.000Z","2016-11-08T20:02:57.000Z",false,false,6,29,41,4,362,382,3,"COMMENTED","","RByers"
